AMT_INCOME_TOTAL,CODE_GENDER_M,FLAG_OWN_CAR_Y,FLAG_OWN_REALTY_Y,NAME_INCOME_TYPE_State servant,NAME_INCOME_TYPE_Student,NAME_INCOME_TYPE_Working,NAME_FAMILY_STATUS_Married,NAME_FAMILY_STATUS_Separated,NAME_FAMILY_STATUS_Single / not married,NAME_FAMILY_STATUS_Widow,occupation_Craft-repair,occupation_Exec-managerial,occupation_Farming-fishing,occupation_Machine-op-inspct,occupation_Other-service,occupation_Prof-specialty,occupation_Sales
2.365845330043234,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2.365845330043234,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0
-0.7288271724686395,1,1,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0
0.8185090787872972,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0.8185090787872972,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0
0.8185090787872972,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0.8185090787872972,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0
0.9511379003235203,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0.9511379003235203,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0.9511379003235203,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0
0.8185090787872972,1,1,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0
0.8185090787872972,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1
-0.5077791365749342,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1
-0.5077791365749342,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0
-0.5077791365749342,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1
-0.5077791365749342,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0
-0.5077791365749342,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0
